Pressure Vapor	Temperature	Volume Vapor	Enthalpy Vapor	Entropy Vapor
725.0000	75.0000	0.0520	498.5000	2.0710
725.0000	80.0000	0.0529	503.3000	2.0847
725.0000	85.0000	0.0538	508.2000	2.0983
725.0000	90.0000	0.0547	513.0000	2.1117
725.0000	95.0000	0.0556	517.8000	2.1249
725.0000	100.0000	0.0565	522.7000	2.1380
725.0000	105.0000	0.0573	527.6000	2.1510
725.0000	110.0000	0.0582	532.5000	2.1638
725.0000	115.0000	0.0591	537.4000	2.1766
725.0000	120.0000	0.0600	542.3000	2.1892
725.0000	125.0000	0.0608	547.3000	2.2017
725.0000	130.0000	0.0617	552.2000	2.2142
725.0000	135.0000	0.0625	557.2000	2.2265
725.0000	140.0000	0.0634	562.3000	2.2387
725.0000	145.0000	0.0642	567.3000	2.2509
725.0000	150.0000	0.0651	572.4000	2.2629
750.0000	0.0000	0.0351	424.1000	1.8260
750.0000	5.0000	0.0363	429.4000	1.8454
750.0000	10.0000	0.0375	434.6000	1.8641
750.0000	15.0000	0.0386	439.8000	1.8821
750.0000	20.0000	0.0397	444.8000	1.8995
750.0000	25.0000	0.0407	449.8000	1.9164
750.0000	30.0000	0.0417	454.8000	1.9328
750.0000	35.0000	0.0427	459.7000	1.9488
750.0000	40.0000	0.0437	464.5000	1.9645
750.0000	45.0000	0.0447	469.4000	1.9798
750.0000	50.0000	0.0456	474.2000	1.9949
750.0000	55.0000	0.0465	479.0000	2.0097
750.0000	60.0000	0.0475	483.8000	2.0242
750.0000	65.0000	0.0484	488.6000	2.0385
750.0000	70.0000	0.0493	493.4000	2.0526
750.0000	75.0000	0.0502	498.3000	2.0666
750.0000	80.0000	0.0510	503.1000	2.0803
750.0000	85.0000	0.0519	507.9000	2.0939
750.0000	90.0000	0.0528	512.7000	2.1073
750.0000	95.0000	0.0536	517.6000	2.1205
750.0000	100.0000	0.0545	522.5000	2.1337
750.0000	105.0000	0.0554	527.3000	2.1467
750.0000	110.0000	0.0562	532.2000	2.1596
750.0000	115.0000	0.0570	537.2000	2.1723
750.0000	120.0000	0.0579	542.1000	2.1850
750.0000	125.0000	0.0587	547.1000	2.1975
750.0000	130.0000	0.0595	552.0000	2.2100
750.0000	135.0000	0.0604	557.1000	2.2223
750.0000	140.0000	0.0612	562.1000	2.2345
750.0000	145.0000	0.0620	567.1000	2.2467
750.0000	150.0000	0.0628	572.2000	2.2588
800.0000	10.0000	0.0347	433.3000	1.8530
800.0000	15.0000	0.0358	438.6000	1.8714
800.0000	20.0000	0.0368	443.7000	1.8891
800.0000	25.0000	0.0378	448.8000	1.9062
800.0000	30.0000	0.0388	453.8000	1.9229
800.0000	35.0000	0.0398	458.8000	1.9392
800.0000	40.0000	0.0407	463.7000	1.9550
800.0000	45.0000	0.0416	468.6000	1.9705
800.0000	50.0000	0.0425	473.5000	1.9857
800.0000	55.0000	0.0434	478.3000	2.0007
800.0000	60.0000	0.0443	483.2000	2.0153
800.0000	65.0000	0.0451	488.0000	2.0297
800.0000	70.0000	0.0460	492.8000	2.0439
800.0000	75.0000	0.0468	497.7000	2.0579
800.0000	80.0000	0.0477	502.5000	2.0718
800.0000	85.0000	0.0485	507.4000	2.0854
800.0000	90.0000	0.0493	512.2000	2.0989
800.0000	95.0000	0.0501	517.1000	2.1122
800.0000	100.0000	0.0509	522.0000	2.1254
800.0000	105.0000	0.0517	526.9000	2.1384
800.0000	110.0000	0.0525	531.8000	2.1514
800.0000	115.0000	0.0533	536.8000	2.1642
800.0000	120.0000	0.0541	541.7000	2.1768
800.0000	125.0000	0.0549	546.7000	2.1894
800.0000	130.0000	0.0557	551.7000	2.2019
800.0000	135.0000	0.0565	556.7000	2.2143
800.0000	140.0000	0.0573	561.7000	2.2266
800.0000	145.0000	0.0580	566.8000	2.2387
800.0000	150.0000	0.0588	571.9000	2.2508
800.0000	155.0000	0.0596	577.0000	2.2629
850.0000	5.0000	0.0312	426.4000	1.8226
850.0000	10.0000	0.0323	431.9000	1.8422
850.0000	15.0000	0.0333	437.3000	1.8610
850.0000	20.0000	0.0343	442.6000	1.8791
850.0000	25.0000	0.0353	447.7000	1.8965
850.0000	30.0000	0.0362	452.8000	1.9135
850.0000	35.0000	0.0372	457.8000	1.9299
850.0000	40.0000	0.0380	462.8000	1.9460
850.0000	45.0000	0.0389	467.8000	1.9617
850.0000	50.0000	0.0398	472.7000	1.9770
850.0000	55.0000	0.0406	477.6000	1.9921
850.0000	60.0000	0.0415	482.5000	2.0068
850.0000	65.0000	0.0423	487.4000	2.0214
850.0000	70.0000	0.0431	492.2000	2.0357
850.0000	75.0000	0.0439	497.1000	2.0498
850.0000	80.0000	0.0447	502.0000	2.0637
850.0000	85.0000	0.0455	506.8000	2.0774
850.0000	90.0000	0.0463	511.7000	2.0909
850.0000	95.0000	0.0470	516.6000	2.1043
850.0000	100.0000	0.0478	521.5000	2.1175
850.0000	105.0000	0.0486	526.5000	2.1306
850.0000	110.0000	0.0493	531.4000	2.1436
850.0000	115.0000	0.0501	536.3000	2.1565
850.0000	120.0000	0.0508	541.3000	2.1692
850.0000	125.0000	0.0516	546.3000	2.1818
850.0000	130.0000	0.0523	551.3000	2.1943
850.0000	135.0000	0.0530	556.3000	2.2067
850.0000	140.0000	0.0538	561.4000	2.2190
850.0000	145.0000	0.0545	566.5000	2.2312
850.0000	150.0000	0.0552	571.6000	2.2433
850.0000	155.0000	0.0560	576.7000	2.2554
850.0000	160.0000	0.0505	581.2000	2.2536
900.0000	5.0000	0.0291	424.9000	1.8116
900.0000	10.0000	0.0301	430.5000	1.8318
900.0000	15.0000	0.0311	436.0000	1.8510
900.0000	20.0000	0.0321	441.4000	1.8694
900.0000	25.0000	0.0330	446.6000	1.8872
900.0000	30.0000	0.0339	451.8000	1.9044
900.0000	35.0000	0.0348	456.9000	1.9211
900.0000	40.0000	0.0357	461.9000	1.9373
900.0000	45.0000	0.0365	467.0000	1.9532
900.0000	50.0000	0.0374	471.9000	1.9687
900.0000	55.0000	0.0382	476.9000	1.9839
900.0000	60.0000	0.0390	481.8000	1.9988
900.0000	65.0000	0.0397	486.7000	2.0134
900.0000	70.0000	0.0405	491.6000	2.0278
900.0000	75.0000	0.0413	496.5000	2.0420
900.0000	80.0000	0.0420	501.4000	2.0560
900.0000	85.0000	0.0428	506.3000	2.0697
900.0000	90.0000	0.0435	511.2000	2.0834
900.0000	95.0000	0.0443	516.1000	2.0968
900.0000	100.0000	0.0450	521.1000	2.1101
900.0000	105.0000	0.0457	526.0000	2.1232
900.0000	110.0000	0.0464	531.0000	2.1362
900.0000	115.0000	0.0472	535.9000	2.1491
900.0000	120.0000	0.0479	540.9000	2.1619
900.0000	125.0000	0.0486	545.9000	2.1745
900.0000	130.0000	0.0493	550.9000	2.1871
900.0000	135.0000	0.0500	556.0000	2.1995
900.0000	140.0000	0.0507	561.1000	2.2119
900.0000	145.0000	0.0514	566.1000	2.2241
900.0000	150.0000	0.0521	571.3000	2.2362
900.0000	155.0000	0.0528	576.4000	2.2483
900.0000	160.0000	0.0479	580.9000	2.2472
950.0000	10.0000	0.0282	429.1000	1.8215
950.0000	15.0000	0.0291	434.7000	1.8412
950.0000	20.0000	0.0301	440.2000	1.8600
950.0000	25.0000	0.0310	445.5000	1.8781
950.0000	30.0000	0.0319	450.8000	1.8956
950.0000	35.0000	0.0327	455.9000	1.9125
950.0000	40.0000	0.0336	461.1000	1.9290
950.0000	45.0000	0.0344	466.1000	1.9450
950.0000	50.0000	0.0352	471.1000	1.9607
950.0000	55.0000	0.0360	476.1000	1.9760
950.0000	60.0000	0.0367	481.1000	1.9910
950.0000	65.0000	0.0375	486.1000	2.0058
950.0000	70.0000	0.0382	491.0000	2.0203
950.0000	75.0000	0.0389	495.9000	2.0345
950.0000	80.0000	0.0397	500.9000	2.0486
950.0000	85.0000	0.0404	505.8000	2.0625
950.0000	90.0000	0.0411	510.7000	2.0761
950.0000	95.0000	0.0418	515.7000	2.0896
950.0000	100.0000	0.0425	520.6000	2.1030
950.0000	105.0000	0.0432	525.6000	2.1162
950.0000	110.0000	0.0439	530.5000	2.1292
950.0000	115.0000	0.0446	535.5000	2.1422
950.0000	120.0000	0.0452	540.5000	2.1550
950.0000	125.0000	0.0459	545.5000	2.1677
950.0000	130.0000	0.0466	550.6000	2.1802
950.0000	135.0000	0.0472	555.6000	2.1927
950.0000	140.0000	0.0479	560.7000	2.2051
950.0000	145.0000	0.0486	565.8000	2.2173
950.0000	150.0000	0.0492	570.9000	2.2295
950.0000	155.0000	0.0499	576.1000	2.2416
1000.0000	10.0000	0.0264	427.6000	1.8115
1000.0000	15.0000	0.0274	433.4000	1.8316
1000.0000	20.0000	0.0283	438.9000	1.8508
1000.0000	25.0000	0.0292	444.4000	1.8693
1000.0000	30.0000	0.0300	449.7000	1.8870
1000.0000	35.0000	0.0309	455.0000	1.9042
1000.0000	40.0000	0.0317	460.2000	1.9209
1000.0000	45.0000	0.0324	465.3000	1.9371
1000.0000	50.0000	0.0332	470.4000	1.9529
1000.0000	55.0000	0.0340	475.4000	1.9684
1000.0000	60.0000	0.0347	480.4000	1.9836
1000.0000	65.0000	0.0354	485.4000	1.9984
1000.0000	70.0000	0.0361	490.4000	2.0130
1000.0000	75.0000	0.0368	495.3000	2.0274
1000.0000	80.0000	0.0375	500.3000	2.0415
1000.0000	85.0000	0.0382	505.3000	2.0555
1000.0000	90.0000	0.0389	510.2000	2.0692
1000.0000	95.0000	0.0396	515.2000	2.0828
1000.0000	100.0000	0.0402	520.1000	2.0962
1000.0000	105.0000	0.0409	525.1000	2.1094
1000.0000	110.0000	0.0416	530.1000	2.1225
1000.0000	115.0000	0.0422	535.1000	2.1355
1000.0000	120.0000	0.0429	540.1000	2.1484
1000.0000	125.0000	0.0435	545.2000	2.1611
1000.0000	130.0000	0.0441	550.2000	2.1737
1000.0000	135.0000	0.0448	555.3000	2.1862
1000.0000	140.0000	0.0454	560.4000	2.1986
1000.0000	145.0000	0.0461	565.5000	2.2109
1000.0000	150.0000	0.0467	570.6000	2.2231
1000.0000	155.0000	0.0473	575.8000	2.2352
1100.0000	15.0000	0.0243	430.6000	1.8130
1100.0000	20.0000	0.0251	436.4000	1.8331
1100.0000	25.0000	0.0260	442.1000	1.8523
1100.0000	30.0000	0.0268	447.6000	1.8707
1100.0000	35.0000	0.0276	453.0000	1.8884
1100.0000	40.0000	0.0284	458.3000	1.9055
1100.0000	45.0000	0.0291	463.6000	1.9221
1100.0000	50.0000	0.0298	468.8000	1.9383
1100.0000	55.0000	0.0305	473.9000	1.9541
1100.0000	60.0000	0.0312	479.0000	1.9695
1100.0000	65.0000	0.0319	484.1000	1.9846
1100.0000	70.0000	0.0325	489.1000	1.9994
1100.0000	75.0000	0.0332	494.1000	2.0139
1100.0000	80.0000	0.0338	499.2000	2.0282
1100.0000	85.0000	0.0345	504.2000	2.0423
1100.0000	90.0000	0.0351	509.2000	2.0562
1100.0000	95.0000	0.0357	514.2000	2.0699
1100.0000	100.0000	0.0363	519.2000	2.0834
1100.0000	105.0000	0.0370	524.2000	2.0968
1100.0000	110.0000	0.0376	529.2000	2.1100
1100.0000	115.0000	0.0382	534.3000	2.1230
1100.0000	120.0000	0.0388	539.3000	2.1360
1100.0000	125.0000	0.0394	544.4000	2.1488
1100.0000	130.0000	0.0399	549.5000	2.1614
1100.0000	135.0000	0.0405	554.6000	2.1740
1100.0000	140.0000	0.0411	559.7000	2.1864
1100.0000	145.0000	0.0417	564.8000	2.1988
1100.0000	150.0000	0.0423	569.9000	2.2110
1100.0000	155.0000	0.0429	575.1000	2.2232
1100.0000	160.0000	0.0434	580.3000	2.2352
1100.0000	165.0000	0.0440	585.5000	2.2472
1100.0000	170.0000	0.0375	589.6000	2.2380
1200.0000	15.0000	0.0216	427.6000	1.7948
1200.0000	20.0000	0.0225	433.8000	1.8159
1200.0000	25.0000	0.0233	439.7000	1.8359
1200.0000	30.0000	0.0241	445.4000	1.8550
1200.0000	35.0000	0.0249	451.0000	1.8733
1200.0000	40.0000	0.0256	456.5000	1.8909
1200.0000	45.0000	0.0263	461.8000	1.9079
1200.0000	50.0000	0.0270	467.1000	1.9245
1200.0000	55.0000	0.0276	472.4000	1.9406
1200.0000	60.0000	0.0283	477.6000	1.9563
1200.0000	65.0000	0.0289	482.7000	1.9716
1200.0000	70.0000	0.0296	487.8000	1.9866
1200.0000	75.0000	0.0302	492.9000	2.0014
1200.0000	80.0000	0.0308	498.0000	2.0159
1200.0000	85.0000	0.0314	503.1000	2.0301
1200.0000	90.0000	0.0320	508.1000	2.0441
1200.0000	95.0000	0.0325	513.2000	2.0580
1200.0000	100.0000	0.0331	518.2000	2.0716
1200.0000	105.0000	0.0337	523.3000	2.0850
1200.0000	110.0000	0.0342	528.4000	2.0983
1200.0000	115.0000	0.0348	533.4000	2.1115
1200.0000	120.0000	0.0354	538.5000	2.1245
1200.0000	125.0000	0.0359	543.6000	2.1374
1200.0000	130.0000	0.0364	548.7000	2.1501
1200.0000	135.0000	0.0370	553.8000	2.1627
1200.0000	140.0000	0.0375	559.0000	2.1752
1200.0000	145.0000	0.0381	564.1000	2.1876
1200.0000	150.0000	0.0386	569.3000	2.1999
1200.0000	155.0000	0.0391	574.5000	2.2121
1200.0000	160.0000	0.0397	579.7000	2.2242
1200.0000	165.0000	0.0402	584.9000	2.2362
1200.0000	170.0000	0.0347	589.0000	2.2286
1300.0000	20.0000	0.0203	431.0000	1.7991
1300.0000	25.0000	0.0211	437.2000	1.8201
1300.0000	30.0000	0.0218	443.1000	1.8399
1300.0000	35.0000	0.0226	448.9000	1.8588
1300.0000	40.0000	0.0233	454.5000	1.8769
1300.0000	45.0000	0.0239	460.0000	1.8944
1300.0000	50.0000	0.0246	465.5000	1.9113
1300.0000	55.0000	0.0252	470.8000	1.9278
1300.0000	60.0000	0.0258	476.1000	1.9438
1300.0000	65.0000	0.0264	481.3000	1.9594
1300.0000	70.0000	0.0270	486.5000	1.9746
1300.0000	75.0000	0.0276	491.7000	1.9896
1300.0000	80.0000	0.0282	496.9000	2.0042
1300.0000	85.0000	0.0287	502.0000	2.0186
1300.0000	90.0000	0.0293	507.1000	2.0328
1300.0000	95.0000	0.0298	512.2000	2.0468
1300.0000	100.0000	0.0304	517.3000	2.0605
1300.0000	105.0000	0.0309	522.4000	2.0741
1300.0000	110.0000	0.0314	527.5000	2.0875
1300.0000	115.0000	0.0319	532.6000	2.1007
1300.0000	120.0000	0.0325	537.7000	2.1138
1300.0000	125.0000	0.0330	542.8000	2.1268
1300.0000	130.0000	0.0335	548.0000	2.1396
1300.0000	135.0000	0.0340	553.1000	2.1523
1300.0000	140.0000	0.0345	558.3000	2.1648
1300.0000	145.0000	0.0350	563.4000	2.1773
1300.0000	150.0000	0.0355	568.6000	2.1896
1300.0000	155.0000	0.0360	573.8000	2.2019
1300.0000	160.0000	0.0365	579.1000	2.2140
1300.0000	165.0000	0.0370	584.3000	2.2261
1400.0000	20.0000	0.0183	428.0000	1.7825
1400.0000	25.0000	0.0191	434.5000	1.8045
1400.0000	30.0000	0.0198	440.7000	1.8251
1400.0000	35.0000	0.0206	446.7000	1.8447
1400.0000	40.0000	0.0212	452.5000	1.8635
1400.0000	45.0000	0.0219	458.2000	1.8814
1400.0000	50.0000	0.0225	463.8000	1.8988
1400.0000	55.0000	0.0231	469.2000	1.9156
1400.0000	60.0000	0.0237	474.6000	1.9319
1400.0000	65.0000	0.0243	480.0000	1.9477
1400.0000	70.0000	0.0248	485.2000	1.9632
1400.0000	75.0000	0.0254	490.5000	1.9784
1400.0000	80.0000	0.0259	495.7000	1.9933
1400.0000	85.0000	0.0265	500.9000	2.0078
1400.0000	90.0000	0.0270	506.0000	2.0222
1400.0000	95.0000	0.0275	511.2000	2.0362
1400.0000	100.0000	0.0280	516.3000	2.0501
1400.0000	105.0000	0.0285	521.5000	2.0638
1400.0000	110.0000	0.0290	526.6000	2.0773
1400.0000	115.0000	0.0295	531.7000	2.0906
1400.0000	120.0000	0.0300	536.9000	2.1038
1400.0000	125.0000	0.0305	542.0000	2.1168
1400.0000	130.0000	0.0309	547.2000	2.1297
1400.0000	135.0000	0.0314	552.4000	2.1425
1400.0000	140.0000	0.0319	557.6000	2.1551
1400.0000	145.0000	0.0324	562.8000	2.1676
1400.0000	150.0000	0.0328	568.0000	2.1800
1400.0000	155.0000	0.0333	573.2000	2.1923
1400.0000	160.0000	0.0338	578.5000	2.2045
1400.0000	165.0000	0.0342	583.7000	2.2166
1500.0000	25.0000	0.0174	431.7000	1.7891
1500.0000	30.0000	0.0181	438.2000	1.8107
1500.0000	35.0000	0.0188	444.5000	1.8310
1500.0000	40.0000	0.0195	450.5000	1.8504
1500.0000	45.0000	0.0201	456.3000	1.8689
1500.0000	50.0000	0.0207	462.0000	1.8867
1500.0000	55.0000	0.0213	467.6000	1.9038
1500.0000	60.0000	0.0219	473.1000	1.9205
1500.0000	65.0000	0.0224	478.5000	1.9366
1500.0000	70.0000	0.0229	483.9000	1.9524
1500.0000	75.0000	0.0235	489.2000	1.9678
1500.0000	80.0000	0.0240	494.5000	1.9828
1500.0000	85.0000	0.0245	499.7000	1.9976
1500.0000	90.0000	0.0250	505.0000	2.0120
1500.0000	95.0000	0.0255	510.2000	2.0263
1500.0000	100.0000	0.0260	515.3000	2.0403
1500.0000	105.0000	0.0264	520.5000	2.0541
1500.0000	110.0000	0.0269	525.7000	2.0677
1500.0000	115.0000	0.0274	530.9000	2.0811
1500.0000	120.0000	0.0278	536.1000	2.0944
1500.0000	125.0000	0.0283	541.2000	2.1075
1500.0000	130.0000	0.0287	546.4000	2.1204
1500.0000	135.0000	0.0292	551.6000	2.1332
1500.0000	140.0000	0.0296	556.8000	2.1459
1500.0000	145.0000	0.0301	562.1000	2.1585
1500.0000	150.0000	0.0305	567.3000	2.1709
1500.0000	155.0000	0.0310	572.6000	2.1833
1500.0000	160.0000	0.0314	577.8000	2.1955
1500.0000	165.0000	0.0318	583.1000	2.2077
1500.0000	170.0000	0.0323	588.4000	2.2197
1500.0000	175.0000	0.0327	593.7000	2.2316
1600.0000	25.0000	0.0158	428.8000	1.7736
1600.0000	30.0000	0.0166	435.6000	1.7963
1600.0000	35.0000	0.0173	442.1000	1.8176
1600.0000	40.0000	0.0179	448.3000	1.8376
1600.0000	45.0000	0.0185	454.4000	1.8567
1600.0000	50.0000	0.0191	460.2000	1.8749
1600.0000	55.0000	0.0197	465.9000	1.8925
1600.0000	60.0000	0.0202	471.5000	1.9095
1600.0000	65.0000	0.0208	477.1000	1.9260
1600.0000	70.0000	0.0213	482.5000	1.9420
1600.0000	75.0000	0.0218	487.9000	1.9576
1600.0000	80.0000	0.0223	493.3000	1.9728
1600.0000	85.0000	0.0228	498.6000	1.9878
1600.0000	90.0000	0.0232	503.9000	2.0024
1600.0000	95.0000	0.0237	509.1000	2.0168
1600.0000	100.0000	0.0242	514.4000	2.0309
1600.0000	105.0000	0.0246	519.6000	2.0448
1600.0000	110.0000	0.0251	524.8000	2.0586
1600.0000	115.0000	0.0255	530.0000	2.0721
1600.0000	120.0000	0.0260	535.2000	2.0854
1600.0000	125.0000	0.0264	540.5000	2.0986
1600.0000	130.0000	0.0268	545.7000	2.1116
1600.0000	135.0000	0.0272	550.9000	2.1245
1600.0000	140.0000	0.0277	556.1000	2.1373
1600.0000	145.0000	0.0281	561.4000	2.1499
1600.0000	150.0000	0.0285	566.6000	2.1624
1600.0000	155.0000	0.0289	571.9000	2.1748
1600.0000	160.0000	0.0293	577.2000	2.1871
1600.0000	165.0000	0.0297	582.5000	2.1992
1600.0000	170.0000	0.0302	587.8000	2.2113
1600.0000	175.0000	0.0306	593.2000	2.2233
1700.0000	30.0000	0.0152	432.9000	1.7820
1700.0000	35.0000	0.0159	439.7000	1.8042
1700.0000	40.0000	0.0165	446.1000	1.8251
1700.0000	45.0000	0.0172	452.3000	1.8447
1700.0000	50.0000	0.0177	458.4000	1.8635
1700.0000	55.0000	0.0183	464.2000	1.8815
1700.0000	60.0000	0.0188	470.0000	1.8989
1700.0000	65.0000	0.0193	475.6000	1.9157
1700.0000	70.0000	0.0198	481.1000	1.9320
1700.0000	75.0000	0.0203	486.6000	1.9478
1700.0000	80.0000	0.0208	492.0000	1.9633
1700.0000	85.0000	0.0213	497.4000	1.9784
1700.0000	90.0000	0.0217	502.8000	1.9932
1700.0000	95.0000	0.0222	508.1000	2.0077
1700.0000	100.0000	0.0226	513.4000	2.0220
1700.0000	105.0000	0.0230	518.6000	2.0360
1700.0000	110.0000	0.0235	523.9000	2.0499
1700.0000	115.0000	0.0239	529.2000	2.0635
1700.0000	120.0000	0.0243	534.4000	2.0769
1700.0000	125.0000	0.0247	539.6000	2.0902
1700.0000	130.0000	0.0251	544.9000	2.1033
1700.0000	135.0000	0.0255	550.2000	2.1162
1700.0000	140.0000	0.0259	555.4000	2.1290
1700.0000	145.0000	0.0263	560.7000	2.1417
1700.0000	150.0000	0.0267	566.0000	2.1543
1700.0000	155.0000	0.0271	571.3000	2.1667
1700.0000	160.0000	0.0275	576.6000	2.1791
1700.0000	165.0000	0.0279	581.9000	2.1913
1700.0000	170.0000	0.0283	587.2000	2.2034
1700.0000	175.0000	0.0287	592.6000	2.2154
1700.0000	180.0000	0.0291	598.0000	2.2274
1800.0000	30.0000	0.0140	430.0000	1.7676
1800.0000	35.0000	0.0147	437.1000	1.7910
1800.0000	40.0000	0.0153	443.8000	1.8126
1800.0000	45.0000	0.0159	450.3000	1.8330
1800.0000	50.0000	0.0165	456.5000	1.8523
1800.0000	55.0000	0.0170	462.5000	1.8708
1800.0000	60.0000	0.0175	468.3000	1.8886
1800.0000	65.0000	0.0180	474.1000	1.9057
1800.0000	70.0000	0.0185	479.7000	1.9223
1800.0000	75.0000	0.0190	485.3000	1.9384
1800.0000	80.0000	0.0195	490.8000	1.9541
1800.0000	85.0000	0.0199	496.3000	1.9694
1800.0000	90.0000	0.0203	501.7000	1.9844
1800.0000	95.0000	0.0208	507.0000	1.9990
1800.0000	100.0000	0.0212	512.4000	2.0134
1800.0000	105.0000	0.0216	517.7000	2.0276
1800.0000	110.0000	0.0220	523.0000	2.0415
1800.0000	115.0000	0.0224	528.3000	2.0553
1800.0000	120.0000	0.0228	533.6000	2.0688
1800.0000	125.0000	0.0232	538.8000	2.0821
1800.0000	130.0000	0.0236	544.1000	2.0953
1800.0000	135.0000	0.0240	549.4000	2.1083
1800.0000	140.0000	0.0244	554.7000	2.1212
1800.0000	145.0000	0.0248	560.0000	2.1340
1800.0000	150.0000	0.0251	565.3000	2.1466
1800.0000	155.0000	0.0255	570.6000	2.1591
1800.0000	160.0000	0.0259	575.9000	2.1714
1800.0000	165.0000	0.0263	581.3000	2.1837
1800.0000	170.0000	0.0266	586.6000	2.1959
1800.0000	175.0000	0.0270	592.0000	2.2079
1800.0000	180.0000	0.0274	597.4000	2.2199
1900.0000	35.0000	0.0136	434.4000	1.7776
1900.0000	40.0000	0.0142	441.4000	1.8003
1900.0000	45.0000	0.0148	448.1000	1.8214
1900.0000	50.0000	0.0154	454.5000	1.8414
1900.0000	55.0000	0.0159	460.7000	1.8603
1900.0000	60.0000	0.0164	466.7000	1.8785
1900.0000	65.0000	0.0169	472.5000	1.8960
1900.0000	70.0000	0.0174	478.3000	1.9128
1900.0000	75.0000	0.0178	484.0000	1.9292
1900.0000	80.0000	0.0183	489.5000	1.9451
1900.0000	85.0000	0.0187	495.1000	1.9607
1900.0000	90.0000	0.0191	500.5000	1.9758
1900.0000	95.0000	0.0195	506.0000	1.9907
1900.0000	100.0000	0.0199	511.3000	2.0052
1900.0000	105.0000	0.0203	516.7000	2.0195
1900.0000	110.0000	0.0207	522.1000	2.0335
1900.0000	115.0000	0.0211	527.4000	2.0474
1900.0000	120.0000	0.0215	532.7000	2.0610
1900.0000	125.0000	0.0219	538.0000	2.0744
1900.0000	130.0000	0.0223	543.3000	2.0877
1900.0000	135.0000	0.0226	548.7000	2.1008
1900.0000	140.0000	0.0230	554.0000	2.1137
1900.0000	145.0000	0.0234	559.3000	2.1265
1900.0000	150.0000	0.0237	564.6000	2.1392
1900.0000	155.0000	0.0241	570.0000	2.1517
1900.0000	160.0000	0.0244	575.3000	2.1642
1900.0000	165.0000	0.0248	580.7000	2.1765
1900.0000	170.0000	0.0251	586.0000	2.1887
1900.0000	175.0000	0.0255	591.4000	2.2008
1900.0000	180.0000	0.0258	596.9000	2.2128
1900.0000	185.0000	0.0262	602.3000	2.2247
2000.0000	35.0000	0.0125	431.5000	1.7641
2000.0000	40.0000	0.0132	438.9000	1.7879
2000.0000	45.0000	0.0138	445.9000	1.8099
2000.0000	50.0000	0.0143	452.5000	1.8305
2000.0000	55.0000	0.0149	458.8000	1.8500
2000.0000	60.0000	0.0154	465.0000	1.8686
2000.0000	65.0000	0.0158	471.0000	1.8865
2000.0000	70.0000	0.0163	476.8000	1.9037
2000.0000	75.0000	0.0167	482.6000	1.9203
2000.0000	80.0000	0.0172	488.3000	1.9365
2000.0000	85.0000	0.0176	493.9000	1.9522
2000.0000	90.0000	0.0180	499.4000	1.9676
2000.0000	95.0000	0.0184	504.9000	1.9826
2000.0000	100.0000	0.0188	510.3000	1.9973
2000.0000	105.0000	0.0192	515.7000	2.0117
2000.0000	110.0000	0.0196	521.1000	2.0259
2000.0000	115.0000	0.0199	526.5000	2.0398
2000.0000	120.0000	0.0203	531.9000	2.0535
2000.0000	125.0000	0.0207	537.2000	2.0670
2000.0000	130.0000	0.0210	542.6000	2.0804
2000.0000	135.0000	0.0214	547.9000	2.0935
2000.0000	140.0000	0.0218	553.2000	2.1066
2000.0000	145.0000	0.0221	558.6000	2.1194
2000.0000	150.0000	0.0225	563.9000	2.1321
2000.0000	155.0000	0.0228	569.3000	2.1447
2000.0000	160.0000	0.0231	574.7000	2.1572
2000.0000	165.0000	0.0235	580.1000	2.1696
2000.0000	170.0000	0.0238	585.5000	2.1818
2000.0000	175.0000	0.0242	590.9000	2.1939
2000.0000	180.0000	0.0245	596.3000	2.2060
2000.0000	185.0000	0.0248	601.7000	2.2179
2200.0000	40.0000	0.0114	433.5000	1.7627
2200.0000	45.0000	0.0120	441.1000	1.7868
2200.0000	50.0000	0.0126	448.2000	1.8090
2200.0000	55.0000	0.0131	455.0000	1.8297
2200.0000	60.0000	0.0136	461.4000	1.8493
2200.0000	65.0000	0.0140	467.7000	1.8680
2200.0000	70.0000	0.0145	473.8000	1.8859
2200.0000	75.0000	0.0149	479.8000	1.9032
2200.0000	80.0000	0.0153	485.6000	1.9199
2200.0000	85.0000	0.0157	491.4000	1.9360
2200.0000	90.0000	0.0161	497.1000	1.9518
2200.0000	95.0000	0.0165	502.7000	1.9671
2200.0000	100.0000	0.0169	508.2000	1.9821
2200.0000	105.0000	0.0172	513.8000	1.9968
2200.0000	110.0000	0.0176	519.2000	2.0112
2200.0000	115.0000	0.0179	524.7000	2.0254
2200.0000	120.0000	0.0183	530.1000	2.0393
2200.0000	125.0000	0.0186	535.6000	2.0530
2200.0000	130.0000	0.0189	541.0000	2.0665
2200.0000	135.0000	0.0193	546.4000	2.0799
2200.0000	140.0000	0.0196	551.8000	2.0930
2200.0000	145.0000	0.0199	557.2000	2.1060
2200.0000	150.0000	0.0202	562.6000	2.1188
2200.0000	155.0000	0.0206	568.0000	2.1315
2200.0000	160.0000	0.0209	573.4000	2.1441
2200.0000	165.0000	0.0212	578.8000	2.1566
2200.0000	170.0000	0.0215	584.2000	2.1689
2200.0000	175.0000	0.0218	589.7000	2.1811
2200.0000	180.0000	0.0221	595.2000	2.1932
2200.0000	185.0000	0.0224	600.6000	2.2052
2200.0000	190.0000	0.0227	606.1000	2.2171
2400.0000	40.0000	0.0098	427.3000	1.7363
